"URL","Track.Name","Artist","time","delta","Year"
"https://open.spotify.com/track/0BBOLOV5JntPL3341swIre","Turn Me On","Kevin Lyttle",1,0,2017
"https://open.spotify.com/track/0bcEHhsuLRDm712CQHomdm","Awful Things","Lil Peep",5,1,2017
"https://open.spotify.com/track/0BlY60NrN0fFWbdW3RW40q","Never Be the Same - Radio Edit","Camila Cabello",2,1,2017
"https://open.spotify.com/track/0BomfsUcw03fQPKK668Etn","Feel The Love (feat. John Newman)","Rudimental",13,1,2017
"https://open.spotify.com/track/0bXpmJyHHYPk6QBFj25bYF","Intro","The xx",1,1,2017
"https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey",54,1,2017
"https://open.spotify.com/track/0BZADNTotC07pQ6PFGRLGS","Here Comes Santa Claus","Bob B. Soxx & The Blue Jeans",2,1,2017
"https://open.spotify.com/track/0bzssi2eITqFX81J0fKCun","Creature","KSI",2,1,2017
"https://open.spotify.com/track/0c1gHntWjKD7QShC8s99sq","I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""","Aerosmith",1,1,2017
"https://open.spotify.com/track/0C7RxcoJUdt0EDtQLuOFc6","Strangers","Halsey",1,1,2017
"https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6","Believer","Imagine Dragons",177,1,2017
"https://open.spotify.com/track/0cGG2EouYCEEC3xfa0tDFV","Tainted Love","Soft Cell",1,1,2017
"https://open.spotify.com/track/0chdEzeIcgfNYbWJBpgvzR","Arose","Eminem",6,1,2017
"https://open.spotify.com/track/0CLnkxpa3M4eA3HeGaERat","Gorgeous","Taylor Swift",4,1,2017
"https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE","Glorious (feat. Skylar Grey)","Macklemore",78,1,2017
"https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD","Shake It Off","Taylor Swift",13,1,2017
"https://open.spotify.com/track/0cWKmpopb9Qm9mbJimBarQ","Greedy Soul","Liam Gallagher",1,1,2017
"https://open.spotify.com/track/0CYDYDMUwyFYEBMWfbxozX","Cherry","Lana Del Rey",1,1,2017
"https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT","Feel Good Inc","Gorillaz",7,1,2017
"https://open.spotify.com/track/0D8UD0MW0XyzI1kwXP5bE8","Picture Of You","Boyzone",1,1,2017
"https://open.spotify.com/track/0d8ZbnRoW1TJ3qEleTrYHH","I Want It That Way","Backstreet Boys",1,1,2017
"https://open.spotify.com/track/0D8ZpOXVjapLXrjz5VfZSD","Pray","Sam Smith",25,1,2017
"https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g","Stay (with Alessia Cara)","Zedd",121,1,2017
"https://open.spotify.com/track/0DBIL8arX0Zo6eAuxNIpik","Bump n' Grind","R. Kelly",1,1,2017
"https://open.spotify.com/track/0dHM31MLd2F5jzNPDMHOpN","Little Of Your Love","HAIM",1,1,2017
"https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV","One More Time","Daft Punk",1,1,2017
"https://open.spotify.com/track/0dj1CtyRxZ4bnIT4Q20jNT","Wake Up Alone","The Chainsmokers",1,1,2017
"https://open.spotify.com/track/0dKNXODgcbQtyDgEt6mw1A","Unforgettable - J Hus & Jae5 Remix","French Montana",1,1,2017
"https://open.spotify.com/track/0dMWL9laoZYIySUxSrRSil","A Holly Jolly Christmas","Lady Antebellum",1,1,2017
"https://open.spotify.com/track/0dodzbwip9PhVqwGsmCUDR","Giants","Take That",1,1,2017
"https://open.spotify.com/track/0dXNQ8dckG4eYfEtq9zcva","All Night","The Vamps",3,1,2017
"https://open.spotify.com/track/0dyiHoYbYjYaOEXLpmzQZG","Supercut","Lorde",6,1,2017
"https://open.spotify.com/track/0E7IEEODbRcopBn7sGJuor","Don’t You Feel It","Sub Focus",3,1,2017
"https://open.spotify.com/track/0EMmVUYs9ZZRHtlADB88uz","Come On Eileen","Dexys Midnight Runners",1,0,2017
"https://open.spotify.com/track/0eO7SWs88desmou6tFqW36","Smiley Faces","Gnarls Barkley",1,1,2017
"https://open.spotify.com/track/0ErrsvDylBWZeAUYbqLllv","Part-Time Lover","Stevie Wonder",1,1,2017
"https://open.spotify.com/track/0EwuAHdON2ma8UBa7Flpee","I Saw Mommy Kissing Santa Claus","The Ronettes",1,1,2017
"https://open.spotify.com/track/0F2BxpbxH8Yc3pLub48hrb","Pjanoo - Radio Edit","Eric Prydz",1,1,2017
"https://open.spotify.com/track/0FbZlKV9DtKX1MGNN4Czmc","Holy Mountain","Noel Gallagher's High Flying Birds",2,1,2017
"https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars","Coldplay",1,1,2017
"https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ","Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",88,1,2017
"https://open.spotify.com/track/0FGtGmz8SVEywhUqNFYWsQ","Sheila","Jamie T",1,1,2017
"https://open.spotify.com/track/0fH86zQcE2CmATQju6WpXv","Are You Sure? (feat. Ty Dolla $ign)","Kris Kross Amsterdam",20,1,2017
"https://open.spotify.com/track/0fhZQ8rma6jpUljj0KfHGF","The Right Song","Tiësto",1,1,2017
"https://open.spotify.com/track/0fioLzGM8ngbD1w6fMmm45","I'm Not The Only One","Sam Smith",13,1,2017
"https://open.spotify.com/track/0fmFX2bQOdqJ1hVlSxRl2F","Ego (feat. Ty Dolla $ign)","Ella Eyre",1,1,2017
"https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI","September Song","JP Cooper",88,1,2017
"https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS","Moves","Big Sean",8,1,2017
"https://open.spotify.com/track/0fxGA5lxrdYNYoE7yJxTNZ","My December","Linkin Park",1,1,2017
"https://open.spotify.com/track/0g02kBdq3iWI4HNArqEgBe","A Spaceman Came Travelling","Chris de Burgh",2,1,2017
"https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd","No Money","Galantis",7,1,2017
"https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5","Green Light","Lorde",75,1,2017
"https://open.spotify.com/track/0Gi17qCJh9e9RJxLaYkm9l","Dark Times","The Weeknd",1,1,2017
"https://open.spotify.com/track/0gJvqi9QyASOCtJu99tytc","Because of You","Kelly Clarkson",1,1,2017
"https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J","Never Enough","Loren Allred",1,1,2017
"https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf","How You Remind Me","Nickelback",1,1,2017
"https://open.spotify.com/track/0gnavFFJzThvFoS5pquUS2","Something for Your M.I.N.D.","Superorganism",1,1,2017
"https://open.spotify.com/track/0GOJobsbOSIF99y6CGr5o6","Sober","G-Eazy",1,1,2017
"https://open.spotify.com/track/0gs72Zn1Nxin1kvKpo9ee5","My Love","Justin Timberlake",2,1,2017
"https://open.spotify.com/track/0gtSPYz0OHoF7k09Auq1uC","Thinking 'Bout You","Dua Lipa",1,1,2017
"https://open.spotify.com/track/0gxfdKlRNsUhwb296HvUXA","Peligro","Giggs",13,1,2017
"https://open.spotify.com/track/0HEmnAUT8PHznIAAmVXqFJ","Faith - Remastered","George Michael",3,1,2017
"https://open.spotify.com/track/0hKBQO2KtkDw99y7oUaTPf","Shining","DJ Khaled",1,1,2017
"https://open.spotify.com/track/0HKD13PLq2WicViBBhSrOl","Out Of Reach","Gabrielle",1,1,2017
"https://open.spotify.com/track/0HMjXBAZmSYOTTi33WpMso","History","One Direction",1,1,2017
"https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1","Sunset Lover","Petit Biscuit",23,1,2017
"https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo","Stay","Zedd",1,1,2017
"https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV","Ms. Jackson","OutKast",1,1,2017
"https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl","Baby It's Cold Outside (duet with Michael Bublé)","Idina Menzel",26,1,2017
"https://open.spotify.com/track/0ihguwGVwKihJ1Nj8fGQlY","Blinded By Your Grace, Pt. 2 (feat. MNEK)","Stormzy",88,0,2017
"https://open.spotify.com/track/0II91KemukvLqsZOyRHoHz","Deep Relief","Sundara Karma",1,1,2017
"https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c","Wake Me up Before You Go-Go","Wham!",1,0,2017
"https://open.spotify.com/track/0IMOKJyVkk1qgLEkAWOaxo","5, 6, 7, 8","Steps",1,1,2017
"https://open.spotify.com/track/0IOgCgSDoRBHK9uNTpJnbx","Dakota","Stereophonics",1,1,2017
"https://open.spotify.com/track/0IqKeD8ZSP72KbGYyzEcAs","Take Me To Church","Hozier",20,1,2017
"https://open.spotify.com/track/0iV9yfj1knFNOSEiuTHZwl","Have Yourself a Merry Little Christmas","Christina Aguilera",2,1,2017
"https://open.spotify.com/track/0ix3RUQ76mECOKP6LDPy66","First Things First","Stormzy",21,1,2017
"https://open.spotify.com/track/0J47tsoZf95YNsIHnNBo9p","Broken Summer","DJ Snake",1,1,2017
"https://open.spotify.com/track/0J6mQxEZnlRt9ymzFntA6z","Livin' On A Prayer","Bon Jovi",1,1,2017
"https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA","Praying","Kesha",41,1,2017
"https://open.spotify.com/track/0jeJR3LdrC2QJNviq7wjzp","In Cold Blood","alt-J",2,1,2017
"https://open.spotify.com/track/0JEqGkvUiMTQmFY6sgL9kg","No One","Alicia Keys",1,1,2017
"https://open.spotify.com/track/0jEwNhGaid3bhzpXk6pMHr","Burn - Radio Mix","Usher",1,1,2017
"https://open.spotify.com/track/0jHkgTtTaqg5LNCiYDQPUB","Let's Get It On","Marvin Gaye",1,1,2017
"https://open.spotify.com/track/0JimWTePXDrOnAhEcA1OR5","Hometown Glory [Single Version]","Adele",1,1,2017
"https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p","Alone","Alan Walker",13,1,2017
"https://open.spotify.com/track/0JpxNq2SYwPt2uSqdcSvyQ","She's So Lovely","Scouting For Girls",26,1,2017
"https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT","Temperature","Sean Paul",1,1,2017
"https://open.spotify.com/track/0K7Dd9DP6fvOl0mrlX0aUa","Rich Boy","Galantis",1,1,2017
"https://open.spotify.com/track/0KIxURk1JUhsf0UC7OgTbA","A Winter's Tale","David Essex",1,1,2017
"https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU","That's What I Like","Bruno Mars",121,1,2017
"https://open.spotify.com/track/0klZpFX0a84jdkqzPNrLQs","You To Me Are Everything","The Real Thing",1,1,2017
"https://open.spotify.com/track/0kmrXYtFI8cgxsShrJpThx","Mis Deseos / Feliz Navidad (Duet With Thalia)","Michael Bublé",1,1,2017
"https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP","Versace On The Floor","Bruno Mars",3,1,2017
"https://open.spotify.com/track/0KNVDEeZWXZPIYKqJeRRpX","If You Wanna","The Vaccines",1,1,2017
"https://open.spotify.com/track/0KOX6UQQzMYRmWcFrS4WcP","Find Me (feat. Jake Bugg)","Tinie Tempah",1,1,2017
"https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D","Fallin'","Alicia Keys",1,1,2017
"https://open.spotify.com/track/0KR2W3St74th8z3LS94Ffh","Scared to Be Lonely","Martin Garrix",9,1,2017
"https://open.spotify.com/track/0Kt0khTz1EzjtaQI8A339S","Starz In Their Eyes","Just Jack",4,1,2017
"https://open.spotify.com/track/0l08dcPEqNEUhymVBext8h","My Name Is","Eminem",1,1,2017
"https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT","Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",29,0,2017
"https://open.spotify.com/track/0L87MffumRNWrY2SNUFcvs","Cocoon","Milky Chance",1,1,2017
"https://open.spotify.com/track/0LAfANg75hYiV1IAEP3vY6","Take Your Mama","Scissor Sisters",1,1,2017
"https://open.spotify.com/track/0lc70Jh2s1iOMuv9XIEhFy","Castle","Eminem",1,1,2017
"https://open.spotify.com/track/0leIhGny91OrU4mjcshsjI","Lonely This Christmas","Mud",25,1,2017
"https://open.spotify.com/track/0lIGejx4KZkhycdCsdGeRs","Love Goes Down","Plan B",1,1,2017
"https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI","It's Beginning To Look A Lot Like Christmas","Michael Bublé",39,1,2017
"https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau","Rollin","Calvin Harris",68,1,2017
"https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU","Let Me Hold You (Turn Me On)","Dante Klein",3,1,2017
"https://open.spotify.com/track/0LN0ASTtcGIbNTnjSHG6eO","Pour Some Sugar On Me (2012)","Def Leppard",1,1,2017
"https://open.spotify.com/track/0Ln5tJyLX5qusquBOtq7wf","Fire","Kasabian",1,1,2017
"https://open.spotify.com/track/0lsbbaa7nj7LtUXVdk0BQe","Just You and I","Tom Walker",2,1,2017
"https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6","City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",15,1,2017
"https://open.spotify.com/track/0Lw22qDGSOofupNG94xJ8y","Many Of Horror","Biffy Clyro",1,1,2017
"https://open.spotify.com/track/0m2orA1i5lLZUOt9XLwSd0","He Like That","Fifth Harmony",1,1,2017
"https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y","Too Good At Goodbyes - Edit","Sam Smith",52,1,2017
"https://open.spotify.com/track/0MfVTButkC0WU7aUcIskU6","La Dee Da","Foo Fighters",1,1,2017
"https://open.spotify.com/track/0MjMqYIYzcCteAs4c0BZGy","Keep On Movin'","Five",1,1,2017
"https://open.spotify.com/track/0MKqeOVdZcUFGJvWpGCKbG","Come Together - Remastered","The Beatles",1,1,2017
"https://open.spotify.com/track/0mn3HSJLVIqcXlcWkaXbgV","Game Over","Dave",7,1,2017
"https://open.spotify.com/track/0mQnLhHH5WwRc5gtnzLtK6","Tilted","Christine and the Queens",3,1,2017
"https://open.spotify.com/track/0mRaZRZX4595Mbt8XHRk2V","Sunglasses In The Rain (feat. Ai) - Radio Edit","John Gibbons",1,1,2017
"https://open.spotify.com/track/0mt02gJ425Xjm7c3jYkOBn","Lust For Life (with The Weeknd)","Lana Del Rey",1,1,2017
